sample_names,mean,median,sd,quantile0.025,quantile0.975
1909054685,1,1,0.42971,1,2
2203059429,1,1,0,1,1
1612018769,1,1,0,1,1
1607002607,1,1,0,1,1
1808023077,1,1,0.21598,1,2
2001115534,1,1,0,1,1
1908036383,1,1,0,1,1
1609002070,1,1,0,1,1
1702047996,1,1,0,1,1
2203064700,1,1,0,1,1
1610009809,1,1,0,1,1
1801034048,1,1,0,1,1
1612046835,1,1,0,1,1
1802051017,1,1,0,1,1
1909059237,1,1,0,1,1
1911100528,1,1,0.49888,1,2
2206117972,1,1,0,1,1
1609082554,1,1,0,1,1
1908076394,1,1,0,1,1
1710013053,1,1,0,1,1
1908074912,1,1,0.19606,1,2
1604001786,1,1,0,1,1
1609091332,1,1,0,1,1
1610045836,1,1,0,1,1
1909029402,1,1,0,1,1
2010114202,1,1,0,1,1
1608042643,1,1,0,1,1
2008074993,1,1,0,1,1
1610009737,1,1,0,1,1
1609019071,1,1,0,1,1
2102014301,1,1,0,1,1
2207077723,1,1,0,1,1
2008071574,1,1,0,1,1
1808074249,1,1,0,1,1
1611011599,1,1,0,1,1
1604083669,1,1,0,1,1
1701080950,1,1,0,1,1
1906071298,1,1,0,1,1
2206080751,1,1,0,1,1
1609091499,1,1,0,1,1
2206051757,1,1,0,1,1
2201114316,1,1,0,1,1
1701034682,1,1,0,1,1
1606080881,1,1,0,1,1
2104064379,1,1,0,1,1
1808048087,1,1,0,1,1
2201006690,1,1,0,1,1
1602083770,1,1,0,1,1
1902095418,1,1,0.43293,1,2
2201065035,1,1,0,1,1
1801067874,1,1,0,1,1
1606096367,1,1,0,1,1
1906084810,1,1,0.07727,1,1
2202074303,1,1,0.0447,1,1
2101077705,1,1,0.0447,1,1
1609004011,1,1,0,1,1
2102053812,1,1,0,1,1
1706059395,1,1,0,1,1
1610033207,1,1,0,1,1
2010061594,1,1,0,1,1
1909011147,1,1,0.10894,1,1
1709030812,1,1,0,1,1
1909072254,1,1,0,1,1
1604002313,1,1,0,1,1
1608008407,1,1,0,1,1
1603073235,1,1,0,1,1
1702026209,1,1,0,1,1
1909093900,1,1,0,1,1
2004031058,1,1,0,1,1
1607055937,1,1,0,1,1
2105025426,1,1,0,1,1
1910035361,1,1,0,1,1
1706059377,1,1,0.03162,1,1
1910053057,1,1,0,1,1
1903083659,1,1,0,1,1
1703059423,1,1,0,1,1
1907043116,1,1,0.16305,1,1
1609078940,1,1,0,1,1
1710054505,1,1,0.06315,1,1
1810063746,1,1,0,1,1
1609095667,1,1,0.03162,1,1
1701089756,1,1,0,1,1
1602079627,1,1,0,1,1
1908036638,1,1,0,1,1
1606075918,1,1,0,1,1
1606006940,1,1,0,1,1
1803015311,1,1,0,1,1
1706059358,1,1,0,1,1
1910030342,1,1,0,1,1
2202026649,1,1,0,1,1
1910015137,1,1,0.45382,1,2
1602019521,1,1,0,1,1
1603022077,1,1,0,1,1
1910025584,1,1,0,1,1
1905078065,1,1,0.30489,1,2
1603080249,1,1,0.08913,1,1
2012042053,1,1,0.4158,1,2
1907065505,1,1,0.20449,1,2
1607066132,1,1,0.17873,1,2
1810095320,1,1,0.88304,1,4
1911073171,1,1,0.08341,1,1
1909008419,1,1,0.10435,1,1
1910008626,1,1,0.8103,1,4
1604090524,1,1,0.18744,1,2
1910088472,1,1,0.03162,1,1
2206085353,2,2,0,2,2
2105078466,2,2,0,2,2
1609005509,2,2,0,2,2
2201056340,2,2,0.3286,1,2
1911091372,2,2,0.24665,1,2
2208069503,2,2,0,2,2
1611022837,2,2,0.24128,2,3
2208039507,2,2,0,2,2
1709043337,2,2,0,2,2
2106009154,2,2,0,2,2
1801085911,2,2,0,2,2
1709054205,2,2,0,2,2
1704041305,2,2,0.0447,2,2
1801102153,2,2,0,2,2
2201075669,2,2,0,2,2
1909054633,2,2,0.22214,1,2
1702080647,2,2,0,2,2
